Modelo;P@20;R@20;MRR@20;nDCG@20
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean;0,034999999999999996;0,0567026307026307;0,18240426240426239;0,06494291339778327
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls;0,052000000000000005;0,08107792207792208;0,21628868353868352;0,08613925338394596
bert-base-portuguese-cased_mean;0,03200000000000001;0,04993806193806193;0,18492921784098257;0,0648312954709439
bert-base-portuguese-cased_cls;0,037000000000000005;0,0570979020979021;0,11798781773781773;0,053613390002029596
bert-large-portuguese-cased_mean;0,07;0,11688145188145185;0,21103692386045325;0,11115579245497811
bert-large-portuguese-cased_cls;0,027000000000000003;0,04506993006993008;0,15981818181818183;0,05153559595511501
Legal-BERTimbau-sts-large-ma-v3_mean;0,08;0,129010323010323;0,29719703335879805;0,13760000219175653
Legal-BERTimbau-sts-large-ma-v3_cls;0,022000000000000002;0,034107892107892106;0,1356862745098039;0,045918911692029774
bert-large-portuguese-cased-legal-mlm-sts-v1,0_mean;0,13899999999999998;0,22606959706959706;0,42706024531024533;0,2514090698022834
bert-large-portuguese-cased-legal-mlm-sts-v1,0_cls;0,09699999999999999;0,1587062937062937;0,26643412873676037;0,16339953484170627
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean;0,129;0,2074771894771895;0,3985443722943723;0,23214718448168267
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls;0,115;0,1868055278055278;0,4003347763347764;0,20720788175353821
paraphrase-multilingual-mpnet-base-v2_mean;0,11299999999999999;0,17712654012654017;0,3546026751026751;0,1893187711515791
paraphrase-multilingual-mpnet-base-v2_cls;0,077;0,12073193473193472;0,3248145363408521;0,13444081204120098
